startSen,endSen,Sentence,Next_Sentence,Cosine_Similarity
10,160,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing,0.9852118
11,161,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,0.9876913
12,162,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,0.9999997
13,163,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,0.9999997
14,164,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,0.9999997
15,165,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,0.9999997
16,166,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,0.9999997
17,167,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this Mind telling,0.9929805
18,168,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this Mind telling,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this Mind telling your subconscious to take,0.9961676
19,169,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this Mind telling your subconscious to take,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this Mind telling your subconscious to take it easy it's my subconscious,0.99346715
20,170,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this Mind telling your subconscious to take it easy it's my subconscious,bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm telling if you keep changing things like this Mind telling your subconscious to take it easy it's my subconscious remember,0.9881951
